ds,yhat,yhat_lower,yhat_upper,actual,period_month,metric,deviation_pct,is_anomalous
2022-01-01,5421.559922216057,5421.559768998435,5421.560072817176,5421.56,2022-01,revenue,1.4347151800137152e-06,False
2022-02-01,10538.419914347418,10538.419762977052,10538.420061422317,10538.42,2022-02,revenue,8.127649384373413e-07,False
2022-03-01,33836.74004010668,33836.73988970715,33836.74018990563,33836.74,2022-03,revenue,-1.1852997372830754e-07,False
2022-04-01,61837.49032342591,61837.4901771044,61837.490468707525,61837.49,2022-04,revenue,-5.230256131789082e-07,False
2022-05-01,134934.96894112424,134934.96880340838,134934.9690806181,134934.97,2022-05,revenue,7.847304268452743e-07,False
2022-06-01,218412.14788355245,218412.14774093856,218412.14803430004,218412.15,2022-06,revenue,9.690154911067752e-07,False
2022-07-01,276724.7998646353,276724.79971783364,276724.80000980495,276724.8,2022-07,revenue,4.891672502363658e-08,False
2022-08-01,296913.2787329543,296913.2785722843,296913.2788703052,296913.28,2022-08,revenue,4.267393299888266e-07,False
2022-09-01,377986.7980308966,377986.79787746066,377986.7981778902,377986.8,2022-09,revenue,5.209450225860584e-07,False
2022-10-01,467331.68291384244,467331.68276679027,467331.683053981,467331.68,2022-10,revenue,-6.235062911225682e-07,False
2022-11-01,503772.80316534545,503772.80301148875,503772.8033086082,503772.8,2022-11,revenue,-6.283279773101423e-07,False
2022-12-01,593085.5359939747,593085.5358432451,593085.5361439508,593085.54,2022-12,revenue,6.754549113514342e-07,False
2023-01-01,742372.0573184832,742372.0571779442,742372.0574617763,742372.06,2023-01,revenue,3.6120928622702785e-07,False
2023-02-01,748519.959746679,748519.9596013008,748519.9599016765,748519.96,2023-02,revenue,3.384292129627131e-08,False
2023-03-01,870525.3559093834,870525.3557622592,870525.3560646925,870525.35,2023-03,revenue,-6.78829556573767e-07,False
2023-04-01,926020.3189259118,926020.318786068,926020.3190682078,926020.31,2023-04,revenue,-9.63900203395004e-07,False
2023-05-01,1099813.0702457628,1099813.0701003443,1099813.0703948576,1099813.07,2023-05,revenue,-2.2345866106084617e-08,False
2023-06-01,1176825.3562892922,1176825.356143537,1176825.3564423611,1176825.36,2023-06,revenue,3.153150858441434e-07,False
2023-07-01,1322805.8767338102,1322805.8765894347,1322805.8768856472,1322805.87,2023-07,revenue,-5.090550459360093e-07,False
2023-08-01,1475985.1720098273,1475985.1718722752,1475985.1721605675,1475985.17,2023-08,revenue,-1.3616853671134737e-07,False
2023-09-01,1597364.7601077934,1597364.7599636302,1597364.760247606,1597364.76,2023-09,revenue,-6.748200095168886e-09,False
2023-10-01,1771609.061045976,1771609.0608994055,1771609.0611916578,1771609.04,2023-10,revenue,-1.1879582417766557e-06,False
2023-11-01,1869259.7103479626,1869259.710207654,1869259.7104882938,1869259.69,2023-11,revenue,-1.0885572779938462e-06,False
2023-12-01,2231588.513935232,2231588.513791788,2231588.5140741165,2231588.52,2023-12,revenue,2.717690968299697e-07,False
2024-01-01,2461707.0589489727,2461707.05880419,2461707.0590829747,2461707.06,2024-01,revenue,4.2695060890985625e-08,False
2024-02-01,2478129.0167405773,2478129.0165915904,2478129.0168802026,2478129.01,2024-02,revenue,-2.720026872453029e-07,False
2024-03-01,2816131.8054611585,2816131.8053218992,2816131.805606809,2816131.78,2024-03,revenue,-9.041181476596081e-07,False
2024-04-01,2975216.1750775543,2975216.1749299467,2975216.1752247503,2975216.14,2024-04,revenue,-1.1789917810880821e-06,False
2024-05-01,3346952.1675743987,3346952.1674224404,3346952.1677177786,3346952.16,2024-05,revenue,-2.2630734342774933e-07,False
2024-06-01,3309445.5886932933,3298801.110781525,3319654.1241870015,3501970.95,2024-06,revenue,5.817450571312277,False
2024-07-01,3567238.2249111263,3534056.7669295603,3600527.141378011,3947317.93,2024-07,revenue,10.654732908911434,False
2024-08-01,2559919.0146195684,2515892.8956440585,2604526.5296758553,4290266.29,2024-08,revenue,67.5938287695238,True
2024-09-01,3735666.0616858853,3639985.6927157985,3828401.463084923,4542350.3,2024-09,revenue,21.594120700126563,True
2024-10-01,4800432.596192646,4636727.70966478,4951819.930571981,5023370.99,2024-10,revenue,4.644131322334843,False
2024-11-01,4078352.6402993565,3893897.4216756457,4241713.842831538,2765188.27,2024-11,revenue,-32.198401808701085,True
2024-12-01,3618026.1452415613,3418219.9130622097,3793029.275420928,,2024-12,revenue,,False
2025-01-01,4800142.931780502,4483734.585449275,5064641.429263942,,2025-01,revenue,,False
2025-02-01,4084859.6157803675,3782676.9591064416,4341111.0957187,,2025-02,revenue,,False
2025-03-01,4939023.917254554,4538490.914644462,5289871.8303442765,,2025-03,revenue,,False
2025-04-01,5029086.807825947,4573244.439682281,5425986.932575591,,2025-04,revenue,,False
2025-05-01,5565023.595575058,5006087.391765446,6061582.540558333,,2025-05,revenue,,False
